iter	Passed	Remaining
183	9164	40643
184	9203	40545
185	9247	40468
186	9327	40551
187	9382	40526
188	9426	40448
189	9474	40389
190	9520	40324
191	9569	40271
192	9618	40219
193	9659	40133
194	9705	40067
195	9750	39994
196	9799	39944
197	9847	39889
198	9888	39802
199	9931	39725
200	9977	39660
201	10025	39605
202	10069	39535
203	10112	39460
204	10157	39390
205	10201	39321
206	10248	39259
207	10295	39200
208	10369	39247
209	10421	39204
210	10468	39144
211	10518	39097
212	10563	39028
213	10606	38956
214	10651	38889
215	10701	38844
216	10751	38794
217	10793	38717
218	10841	38661
219	10888	38606
220	10939	38561
221	10987	38505
222	11033	38445
223	11080	38385
224	11127	38326
225	11172	38264
226	11218	38202
227	11262	38133
228	11308	38073
229	11363	38042
230	11436	38071
231	11502	38077
232	11581	38125
233	11630	38072
234	11683	38032
235	11730	37976
236	11776	37913
237	11822	37852
238	11867	37787
239	11913	37727
240	11961	37670
241	12008	37614
242	12054	37552
243	12100	37492
244	12148	37437
245	12196	37383
246	12236	37304
247	12283	37246
248	12326	37177
249	12370	37112
250	12418	37057
251	12465	37000
252	12510	36938
253	12562	36896
254	12636	36919
255	12688	36874
256	12734	36817
257	12784	36767
258	12828	36702
259	12882	36664
260	12932	36618
261	12976	36552
262	13021	36490
263	13065	36425
264	13114	36374
265	13164	36325
266	13210	36266
267	13256	36208
268	13306	36159
269	13365	36136
270	13412	36080
271	13455	36013
272	13501	35953
273	13548	35897
274	13610	35881
275	13679	35883
276	13755	35902
277	13818	35889
278	13897	35915
279	13956	35888
280	14004	35833
281	14053	35781
282	14102	35729
283	14147	35668
284	14193	35607
285	14239	35547
286	14288	35497
287	14336	35444
288	14385	35390
289	14431	35333
290	14478	35276
291	14528	35226
292	14576	35171
293	14619	35106
294	14666	35051
295	14715	34999
296	14795	35021
297	14845	34972
298	14891	34912
299	14939	34858
300	14986	34803
301	15039	34759
302	15090	34713
303	15135	34652
304	15182	34595
305	15230	34542
306	15287	34508
307	15337	34459
308	15386	34408
309	15433	34352
310	15482	34301
311	15558	34307
312	15625	34295
313	15681	34260
314	15730	34206
315	15785	34168
316	15866	34186
317	15920	34143
318	15967	34087
319	16022	34048
320	16078	34010
321	16121	33944
322	16167	33886
323	16214	33831
324	16272	33796
325	16318	33739
326	16371	33694
327	16428	33659
328	16484	33619
329	16540	33581
330	16594	33540
331	16643	33487
332	16692	33434
333	16743	33387
334	16790	33329
335	16846	33291
336	16939	33326
337	16993	33282
338	17040	33226
339	17088	33171
340	17137	33119
341	17190	33073
342	17239	33021
343	17287	32967
344	17335	32913
345	17384	32860
346	17440	32820
347	17490	32770
348	17537	32713
349	17586	32660
350	17634	32606
351	17690	32566
352	17739	32514
353	17789	32463
354	17837	32409
355	17890	32362
356	17998	32418
357	18052	32373
358	18104	32326
359	18164	32293
360	18211	32236
361	18262	32186
362	18311	32134
363	18366	32090
364	18411	32031
365	18460	31978
366	18509	31925
367	18565	31883
368	18613	31829
369	18659	31771
370	18707	31716
371	18757	31665
372	18812	31623
373	18859	31567
374	18905	31509
375	18986	31510
376	19044	31471
377	19099	31427
378	19146	31371
379	19194	31317
380	19243	31264
381	19299	31223
382	19348	31169
383	19398	31117
384	19452	31073
385	19509	31033
386	19558	30979
387	19606	30926
388	19654	30871
389	19707	30824
390	19757	30773
391	19803	30716
392	19854	30666
393	19901	30610
394	19953	30561
395	20041	30568
396	20119	30559
397	20185	30531
398	20236	30481
399	20284	30426
400	20333	30373
401	20381	30318
402	20435	30272
403	20482	30216
404	20530	30162
405	20579	30108
406	20627	30055
407	20680	30007
408	20732	29957
409	20777	29900
410	20828	29848
411	20875	29793
412	20928	29746
413	20976	29691
414	21026	29639
415	21103	29625
416	21163	29587
417	21225	29553
418	21278	29505
419	21329	29455
420	21377	29400
421	21431	29354
422	21480	29300
423	21530	29248
424	21578	29194
425	21635	29151
426	21684	29099
427	21733	29045
428	21783	28993
429	21832	28940
430	21887	28895
431	21933	28838
432	21983	28786
433	22033	28735
434	22084	28684
435	22178	28689
436	22237	28649
437	22284	28593
438	22334	28541
439	22384	28489
440	22445	28450
441	22510	28418
442	22559	28364
443	22613	28317
444	22665	28268
445	22715	28215
446	22763	28161
447	22813	28109
448	22866	28061
449	22915	28008
450	22964	27954
451	23011	27899
452	23059	27844
453	23115	27799
454	23171	27755
455	23255	27742
456	23306	27692
457	23397	27688
458	23474	27668
459	23538	27632
460	23590	27582
461	23651	27542
462	23701	27489
463	23753	27439
464	23807	27390
465	23856	27337
466	23912	27291
467	23962	27239
468	24017	27192
469	24070	27142
470	24124	27095
471	24173	27041
472	24227	26992
473	24318	26986
474	24375	26941
475	24423	26886
476	24471	26831
477	24522	26779
478	24600	26757
479	24656	26711
480	24712	26664
481	24800	26653
482	24847	26596
483	24896	26542
484	24946	26489
485	25001	26441
486	25054	26391
487	25105	26339
488	25155	26286
489	25206	26235
490	25267	26193
491	25361	26186
492	25433	26155
493	25501	26121
494	25549	26065
495	25599	26012
496	25653	25963
497	25708	25915
498	25760	25863
499	25811	25811
500	25861	25758
501	25917	25710
502	25967	25658
503	26015	25602
504	26061	25545
505	26120	25501
506	26169	25446
507	26216	25390
508	26265	25336
509	26314	25282
510	26403	25266
511	26461	25221
512	26510	25166
513	26556	25109
514	26612	25061
515	26667	25014
516	26715	24958
517	26763	24903
518	26813	24849
519	26868	24801
520	26921	24750
521	26972	24698
522	27020	24643
523	27096	24614
524	27144	24559
525	27192	24504
526	27245	24453
527	27299	24404
528	27346	24348
529	27402	24300
530	27482	24273
531	27541	24228
532	27589	24173
533	27643	24123
534	27695	24071
535	27747	24019
536	27793	23963
537	27841	23908
538	27889	23853
539	27948	23807
540	27993	23750
541	28041	23695
542	28088	23639
543	28137	23585
544	28194	23538
545	28247	23487
546	28295	23432
547	28344	23379
548	28394	23325
549	28469	23293
550	28547	23263
551	28637	23241
552	28705	23203
553	28762	23155
554	28812	23102
555	28861	23047
556	28911	22994
557	28967	22945
558	29018	22893
559	29065	22837
560	29113	22782
561	29166	22731
562	29214	22676
563	29263	22622
564	29311	22567
565	29360	22513
566	29417	22465
567	29469	22413
568	29517	22358
569	29568	22305
570	29616	22251
571	29697	22221
572	29747	22168
573	29800	22116
574	29850	22063
575	29900	22009
576	29958	21962
577	30007	21908
578	30053	21852
579	30102	21798
580	30158	21749
581	30205	21693
582	30255	21640
583	30303	21586
584	30357	21535
585	30406	21481
586	30454	21427
587	30503	21373
588	30557	21322
589	30604	21267
590	30656	21215
591	30712	21166
592	30795	21136
593	30852	21087
594	30901	21033
595	30950	20979
596	31001	20927
597	31052	20874
598	31101	20820
599	31148	20765
600	31197	20711
601	31249	20660
602	31302	20608
603	31349	20553
604	31398	20499
605	31447	20445
606	31500	20394
607	31550	20341
608	31596	20286
609	31647	20233
610	31695	20179
611	31765	20139
612	31835	20098
613	31891	20048
614	31940	19994
615	31994	19944
616	32046	19892
617	32091	19836
618	32141	19783
619	32191	19730
620	32249	19682
621	32298	19628
622	32349	19575
623	32397	19521
624	32449	19469
625	32501	19417
626	32551	19364
627	32601	19311
628	32650	19258
629	32699	19204
630	32754	19154
631	32802	19100
632	32873	19059
633	32923	19006
634	32977	18955
635	33035	18907
636	33084	18853
637	33137	18802
638	33189	18749
639	33242	18699
640	33290	18644
641	33339	18591
642	33390	18538
643	33446	18488
644	33493	18434
645	33541	18380
646	33591	18327
647	33639	18273
648	33695	18223
649	33743	18169
650	33792	18116
651	33841	18062
652	33918	18023
653	33974	17974
654	34021	17919
655	34068	17865
656	34119	17812
657	34178	17764
658	34228	17711
659	34276	17657
660	34324	17603
661	34379	17553
662	34427	17499
663	34476	17445
664	34526	17392
665	34581	17342
666	34635	17291
667	34682	17237
668	34727	17182
669	34778	17129
670	34833	17079
671	34882	17025
672	34958	16985
673	35056	16955
674	35128	16913
675	35180	16861
676	35226	16806
677	35277	16754
678	35330	16702
679	35378	16648
680	35426	16595
681	35475	16541
682	35531	16490
683	35577	16436
684	35626	16383
685	35678	16330
686	35724	16276
687	35781	16226
688	35833	16174
689	35881	16120
690	35930	16067
691	36016	16030
692	36071	15979
693	36120	15926
694	36167	15872
695	36216	15818
696	36275	15769
697	36326	15717
698	36373	15662
699	36422	15609
700	36476	15558
701	36528	15506
702	36576	15452
703	36624	15398
704	36678	15347
705	36726	15294
706	36772	15239
707	36821	15186
708	36870	15132
709	36923	15081
710	36972	15028
711	37021	14975
712	37096	14932
713	37157	14883
714	37213	14833
715	37259	14779
716	37310	14726
717	37359	14673
718	37417	14623
719	37466	14570
720	37516	14517
721	37567	14465
722	37623	14414
723	37676	14362
724	37725	14309
725	37775	14256
726	37828	14205
727	37878	14152
728	37927	14099
729	37976	14045
730	38034	13996
731	38114	13954
732	38169	13903
733	38217	13849
734	38274	13799
735	38331	13749
736	38381	13696
737	38431	13643
738	38482	13591
739	38540	13541
740	38588	13487
741	38639	13435
742	38692	13383
743	38749	13333
744	38800	13280
745	38851	13228
746	38905	13176
747	38960	13125
748	39013	13073
749	39064	13021
750	39121	12971
751	39209	12930
752	39259	12878
753	39308	12824
754	39366	12774
755	39419	12722
756	39466	12668
757	39517	12616
758	39566	12563
759	39623	12512
760	39670	12458
761	39721	12406
762	39770	12353
763	39824	12301
764	39871	12247
765	39919	12194
766	39967	12141
767	40024	12090
768	40072	12037
769	40124	11985
770	40183	11935
771	40257	11889
772	40331	11843
773	40415	11801
774	40472	11750
775	40551	11705
776	40600	11652
777	40650	11599
778	40702	11547
779	40755	11495
780	40803	11441
781	40850	11388
782	40901	11335
783	40959	11284
784	41006	11231
785	41054	11177
786	41104	11124
787	41160	11073
788	41207	11020
789	41257	10967
790	41308	10914
791	41362	10862
792	41417	10811
793	41487	10763
794	41548	10713
795	41602	10662
796	41649	10608
797	41702	10556
798	41753	10503
799	41807	10451
800	41857	10399
801	41911	10347
802	41963	10294
803	42016	10242
804	42067	10190
805	42115	10136
806	42165	10084
807	42222	10033
808	42271	9980
809	42323	9927
810	42374	9875
811	42429	9823
812	42508	9777
813	42563	9725
814	42621	9674
815	42675	9622
816	42722	9569
817	42774	9517
818	42824	9464
819	42877	9412
820	42924	9358
821	42974	9305
822	43029	9254
823	43087	9203
824	43135	9149
825	43188	9097
826	43244	9046
827	43303	8995
828	43356	8943
829	43407	8890
830	43465	8839
831	43549	8793
832	43610	8743
833	43661	8690
834	43722	8639
835	43777	8587
836	43830	8535
837	43885	8483
838	43941	8432
839	43996	8380
840	44048	8327
841	44100	8275
842	44158	8224
843	44251	8179
844	44320	8129
845	44374	8077
846	44428	8025
847	44476	7972
848	44526	7919
849	44613	7873
850	44690	7824
851	44742	7772
852	44792	7719
853	44853	7668
854	44908	7616
855	44955	7562
856	45003	7509
857	45060	7457
858	45121	7406
859	45171	7353
860	45221	7300
861	45277	7248
862	45331	7196
863	45380	7143
864	45432	7090
865	45482	7037
866	45534	6985
867	45595	6933
868	45680	6886
869	45747	6835
870	45795	6782
871	45844	6729
872	45894	6676
873	45947	6623
874	46002	6571
875	46053	6519
876	46104	6466
877	46155	6413
878	46209	6361
879	46258	6307
880	46309	6255
881	46358	6202
882	46413	6149
883	46467	6097
884	46515	6044
885	46570	5992
886	46636	5941
887	46704	5890
888	46766	5839
889	46865	5792
890	46931	5741
891	46989	5689
892	47047	5637
893	47111	5585
894	47175	5534
895	47226	5481
896	47283	5429
897	47345	5377
898	47397	5324
899	47450	5272
900	47500	5219
901	47552	5166
902	47607	5114
903	47659	5061
904	47707	5007
905	47757	4954
906	47814	4902
907	47910	4854
908	47963	4801
909	48019	4749
910	48073	4696
911	48122	4643
912	48169	4590
913	48223	4537
914	48273	4484
915	48321	4431
916	48369	4378
917	48422	4325
918	48472	4272
919	48523	4219
920	48572	4166
921	48623	4113
922	48682	4061
923	48732	4008
924	48780	3955
925	48830	3902
926	48883	3849
927	49014	3802
928	49090	3751
929	49141	3698
930	49188	3645
931	49251	3593
932	49323	3541
933	49374	3488
934	49424	3435
935	49477	3383
936	49532	3330
937	49582	3277
938	49629	3224
939	49676	3170
940	49733	3118
941	49786	3065
942	49836	3012
943	49888	2959
944	49941	2906
945	50028	2855
946	50079	2802
947	50131	2749
948	50186	2697
949	50243	2644
950	50296	2591
951	50344	2538
952	50398	2485
953	50451	2432
954	50500	2379
955	50546	2326
956	50596	2273
957	50651	2220
958	50699	2167
959	50750	2114
960	50799	2061
961	50847	2008
962	50900	1955
963	50949	1902
964	51003	1849
965	51081	1797
966	51142	1745
967	51199	1692
968	51247	1639
969	51296	1586
970	51343	1533
971	51401	1480
972	51450	1427
973	51501	1374
974	51555	1321
975	51608	1269
976	51656	1216
977	51707	1163
978	51760	1110
979	51816	1057
980	51864	1004
981	51914	951
982	51964	898
983	52020	845
984	52103	793
985	52158	740
986	52218	687
987	52269	634
988	52318	581
989	52367	528
990	52419	476
991	52478	423
992	52527	370
993	52575	317
994	52626	264
995	52670	211
996	52722	158
997	52774	105
998	52823	52
999	52874	0
